Part Number:,PKP245D15A-L,,,,,,,,
Manufacture:,Vexta,,,,,,,,
Size:,17,,,,,,,,
Deg:,TS,,,,,,,,
Type,1.8,,,,,,,,
PID Setting Kp:,7.500000,,,,,,,,
PID Setting Ki:,364.000000,,,,,,,,
PID Setting Kd:,0.000000,,,,,,,,
PID Setting Kc:,364.000000,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
Current Settings (mA),Speed (uSteps/Sec),Dyna Speed (uSteps/Sec),Torque 1 (mNm),Torque 2 (mNm),Torque 3 (mNm),Torque 4 (mNm),Torque 5 (mNm),Mean (mNm),Standard Dev
1000,80000,79787,38.0,38.0,38.2,,,38.0433,0.0929
1000,160000,160427,30.6,30.6,30.5,,,30.5600,0.0346
1000,240000,239787,23.7,23.7,23.6,,,23.6600,0.0854
1000,320000,320427,17.9,17.8,17.8,,,17.8233,0.0586
1000,400000,399360,13.1,13.1,15.2,,,13.8033,1.2362
1000,480000,481707,11.2,11.2,11.1,,,11.1400,0.0520
1000,560000,559360,8.1,8.1,6.7,,,7.6027,0.7991
1500,80000,79787,56.5,56.5,56.7,,,56.6000,0.1229
1500,160000,159573,52.7,52.7,52.6,,,52.6833,0.0737
1500,240000,239787,43.9,43.7,43.5,,,43.6867,0.1856
1500,320000,319573,39.7,39.6,39.4,,,39.5533,0.1601
1500,400000,400640,31.8,31.6,31.6,,,31.6600,0.0889
1500,480000,480000,28.0,28.0,27.9,,,27.9667,0.0569
1500,560000,561067,15.9,15.8,15.7,,,15.7733,0.0907
